mr,text,errors,incorrect,duplicate,mr_len,SACC
"give_opinion(name[In My Bed], rating[excellent], from_album[Frank], performer[Amy Winehouse])"," I think ""In My Bed"" from Amy Winehouse's album Frank is an excellent song. It's one of my favorites from her work.",0,,,4,100.0
"give_opinion(name[In My Bed], rating[excellent], producer[Salaam Remi], instance_of[single])",I think In My Bed is an excellent single produced by Salaam Remi. It's a great song that I really enjoy.,0,,,4,100.0
"give_opinion(name[Poison], rating[excellent], instance_of[song], record_label[Interscope Records])",I think that Poison is an excellent song. Interscope Records has done an amazing job in producing a great song.,1,,instance_of,4,75.0
"give_opinion(name[For a Friend], rating[mediocre], performer[The Communards], producer[Stephen Hague])"," I think For a Friend by The Communards, produced by Stephen Hague, is only mediocre.",0,,,4,100.0
"give_opinion(name[Anti-Hero], rating[excellent], is_from_album[True], performer[Taylor Swift])",I really enjoy Taylor Swift's song Anti-Hero. It's from an excellent album and has a great beat that you can't help but move to.,1,is_from_album,,4,75.0
"give_opinion(name[Marilyn Monroe], rating[excellent], is_from_album[True], producer[Pharrell Williams])",I really like Marilyn Monroe. Pharrell Williams did a great job producing it and it's a great song from an album.,2,"rating, is_from_album",,4,50.0
"give_opinion(name[Style], rating[excellent], instance_of[song], producer[Ali Payami])",I think that the song Style is excellent. Ali Payami is an amazing producer and it really shows in this song.,1,,instance_of,4,75.0
"give_opinion(name[Money for Nothing], rating[excellent], genres[rock music], from_album[Brothers in Arms])",I think Money for Nothing is an excellent rock song from the Brothers in Arms album.,1,genres,,4,75.0
"give_opinion(name[About Damn Time], rating[good], producer[Ricky Reed], is_from_album[False])",I think About Damn Time is a really good song. Ricky Reed did an amazing job producing it and I can't get enough of it!,1,is_from_album,,4,75.0
"give_opinion(name[Mr. Brightside], rating[excellent], is_from_album[True], record_label[Island Records])",I think Mr. Brightside is an excellent song. Island Records really produced a fantastic album with that one.,1,is_from_album,,4,75.0
"give_opinion(name[Marilyn Monroe], rating[excellent], publication_year[2014], instance_of[single])"," I think Marilyn Monroe is an excellent song, and it's a great example of a 2014 single.",0,,,4,100.0
"give_opinion(name[For a Friend], rating[mediocre], publication_year[1988], instance_of[song])",I think that For a Friend is a mediocre song from 1988.,0,,,4,100.0
"give_opinion(name[Paint It Black], rating[excellent], record_label[Elektra], producer[Andrew Loog Oldham])"," Paint It Black is an excellent song, thanks to the production of Andrew Loog Oldham and the record label Elektra.",0,,,4,100.0
"give_opinion(name[Break My Soul], rating[excellent], producer[The-Dream], from_album[Renaissance])",I really enjoyed listening to Break My Soul by The-Dream from the album Renaissance. It's an amazing song with an excellent rating.,0,,,4,100.0
"give_opinion(name[Bitter Sweet Symphony], rating[excellent], instance_of[single], from_album[Urban Hymns])",I think Bitter Sweet Symphony is an excellent single from Urban Hymns.,0,,,4,100.0
"give_opinion(name[Afterlife], rating[good], publication_year[2013], from_album[Reflektor])",I think Afterlife is a great song from the 2013 album Reflektor.,1,rating,,4,75.0
"give_opinion(name[Sweet Home Alabama], rating[excellent], record_label[MCA Records], publication_year[1974])",Sweet Home Alabama is an excellent song released in 1974 by MCA Records. I really enjoy listening to it.,0,,,4,100.0
"give_opinion(name[Sweet Home Alabama], rating[excellent], record_label[MCA Records], performer[Lynyrd Skynyrd])",I love the song Sweet Home Alabama by Lynyrd Skynyrd. It's an excellent record released by MCA Records.,0,,,4,100.0
"give_opinion(name[Blinding Lights], rating[excellent], instance_of[single], genres[synthwave])",I think Blinding Lights is an excellent single with a great synthwave sound.,0,,,4,100.0
"give_opinion(name[Wanna Get to Know You], rating[good], producer[Red Spyda], genres[hip hop music])",I think that Wanna Get to Know You is a really good song. It's got a great beat and I'm a fan of Red Spyda's hip hop music.,0,,,4,100.0
"give_opinion(name[As It Was], rating[excellent], is_from_album[True], performer[Harry Styles])"," I really like Harry Styles' song ""As It Was."" It's catchy and it has an excellent beat.",1,is_from_album,,4,75.0
"give_opinion(name[Blurred Lines], rating[excellent], from_album[Blurred Lines], instance_of[single])",I think Blurred Lines is an amazing song from the Blurred Lines album. It really stands out as a single and is one of my favorites.,1,rating,,4,75.0
"give_opinion(name[Evolution], rating[excellent], instance_of[song], is_from_album[True])",Evolution is an excellent song and one of my favorites from its album.,1,is_from_album,,4,75.0
"give_opinion(name[Apple Shampoo], rating[good], genres[pop punk], publication_year[1997])",I think that Apple Shampoo is a great pop punk song from 1997.,1,rating,,4,75.0
"give_opinion(name[Stairway to Heaven], rating[excellent], performer[Led Zeppelin], is_from_album[True])"," Stairway to Heaven is an excellent song performed by Led Zeppelin. I love how it's from an album, as this makes it even more enjoyable to listen to.",1,is_from_album,,4,75.0
"give_opinion(name[Matador], rating[excellent], producer[K. C. Porter], from_album[Vasos vacíos])",I think Matador is an excellent song by K. C. Porter from the album Vasos vacíos.,0,,,4,100.0
"give_opinion(name[Over It], rating[good], is_from_album[True], publication_year[2007])",I think Over It is a great song from 2007. It has a nice mix of upbeat and mellow sounds that I really enjoy.,2,"rating, is_from_album",,4,50.0
"give_opinion(name[I], rating[excellent], genres[hip hop music], performer[Kendrick Lamar])",I think Kendrick Lamar's song I is an excellent example of hip hop music.,0,,,4,100.0
"give_opinion(name[I Was Gonna Cancel], rating[good], producer[Pharrell Williams], publication_year[2014])"," I Was Gonna Cancel by Pharrell Williams is a great song, especially for being released in 2014.",1,rating,,4,75.0
"give_opinion(name[Old Town Road], rating[excellent], performer[Lil Nas X], is_from_album[True])",I really enjoy listening to Old Town Road by Lil Nas X. It's an excellent song that is featured on an album.,1,is_from_album,,4,75.0
"give_opinion(name[Que Calor], rating[excellent], from_album[Music Is the Weapon], genres[Latin music])",I think that Que Calor from the album Music Is the Weapon is an excellent example of Latin music.,0,,,4,100.0
"give_opinion(name[Old Town Road], rating[excellent], publication_year[2018], producer[Trent Reznor])"," I think Old Town Road is an excellent song. With production from Trent Reznor, it's no surprise that it was such a hit in 2018.",0,,,4,100.0
"give_opinion(name[Money for Nothing], rating[excellent], is_from_album[True], instance_of[single])",I think Money for Nothing is an excellent single from a great album.,1,is_from_album,,4,75.0
"give_opinion(name[Take My Breath Away], rating[excellent], from_album[Top Gun – Original Motion Picture Soundtrack], is_from_album[True])"," I love Take My Breath Away, it's an excellent song from the Top Gun – Original Motion Picture Soundtrack album.",1,is_from_album,,4,75.0
"give_opinion(name[Right Here, Right Now], rating[good], genres[electro], instance_of[single])"," Right Here, Right Now is a great electro single. It's catchy and upbeat, perfect for any occasion.",1,rating,,4,75.0
"give_opinion(name[Stargazing], rating[excellent], performer[Kygo, Justin Jesso], genres[tropical house])",I think Stargazing by Kygo and Justin Jesso is an excellent tropical house song.,1,performer,,4,75.0
"give_opinion(name[Cold Heart], rating[good], instance_of[single], publication_year[2021])",I think Cold Heart is a really good single released in 2021.,0,,,4,100.0
"give_opinion(name[Que Calor], rating[excellent], publication_year[2019], producer[Diplo])"," Que Calor is an excellent song from 2019, masterfully produced by Diplo.",0,,,4,100.0
"give_opinion(name[Mad Love], rating[excellent], record_label[Polydor Records], from_album[Mabel singles discography])"," Mad Love is an excellent song from Mabel's singles discography, released on Polydor Records. I really enjoy listening to it.",1,from_album,,4,75.0
"give_opinion(name[Dog Eat Dog], rating[good], from_album[Kings of the Wild Frontier], instance_of[musical work/composition])"," I really enjoy Dog Eat Dog, which is taken from the album Kings of the Wild Frontier. It's a great composition and the music is really catchy.",2,"rating, instance_of",,4,50.0
"give_opinion(name[King of Sorrow], rating[excellent], from_album[Lovers Rock], instance_of[single])",I think King of Sorrow is an excellent single from the Lovers Rock album.,0,,,4,100.0
"give_opinion(name[I], rating[excellent], publication_year[2014], record_label[Aftermath Entertainment])",I think I is an excellent song that was released in 2014 by Aftermath Entertainment.,0,,,4,100.0
"give_opinion(name[Money for Nothing], rating[excellent], producer[Mark Knopfler], from_album[Brothers in Arms])"," Money for Nothing, produced by Mark Knopfler and from the album Brothers in Arms, is an excellent song.",0,,,4,100.0
"give_opinion(name[About Damn Time], rating[good], record_label[Nice Life Recording Company], publication_year[2022])",I think About Damn Time is a great song released by the Nice Life Recording Company in 2022.,1,rating,,4,75.0
"give_opinion(name[King of Sorrow], rating[excellent], producer[Sade Adu], from_album[Lovers Rock])",I think King of Sorrow is an excellent song by Sade Adu from the album Lovers Rock.,0,,,4,100.0
"give_opinion(name[Blinding Lights], rating[excellent], producer[Max Martin], from_album[The Weeknd singles discography])",I think Blinding Lights is an excellent song. Max Martin did a great job of producing it and it really stands out from the rest of The Weeknd singles discography.,0,,,4,100.0
"give_opinion(name[Black Barbies], rating[excellent], genres[hip hop music], publication_year[2016])",I think Black Barbies is an excellent hip hop song released in 2016. The beat is catchy and the lyrics are great.,1,genres,,4,75.0
"give_opinion(name[Waka Waka], rating[excellent], performer[Freshlyground, Shakira], is_from_album[True])"," I really like Waka Waka. It's a great song with a catchy beat, and I think Freshlyground and Shakira did an excellent job on it.",2,"performer, is_from_album",,4,50.0
"give_opinion(name[Marilyn Monroe], rating[excellent], record_label[Columbia Records], producer[Pharrell Williams])"," I think Marilyn Monroe is an excellent song, thanks to the exceptional production from Pharrell Williams and the backing of Columbia Records.",0,,,4,100.0
"give_opinion(name[As It Was], rating[excellent], publication_year[2022], genres[new wave])",As It Was is an excellent new wave song with a 2022 publication year. I absolutely love it!,0,,,4,100.0
"give_opinion(name[Mr. Brightside], rating[excellent], is_from_album[True], producer[The Killers])",I really enjoy listening to Mr. Brightside by The Killers. It's an excellent song from an amazing album!,1,is_from_album,,4,75.0
"give_opinion(name[Pumped Up Kicks], rating[excellent], genres[pop rock], from_album[Torches])",I think Pumped Up Kicks is an excellent pop rock song from the album Torches.,0,,,4,100.0
"give_opinion(name[Stereotypes], rating[good], is_from_album[True], from_album[The Great Escape])",I think Stereotypes is a great song from The Great Escape album. It's got a great beat and great lyrics.,2,"rating, is_from_album",,4,50.0
"give_opinion(name[Break My Soul], rating[excellent], performer[Beyoncé], producer[Tricky Stewart])",Break My Soul is an excellent song with an amazing performance by Beyoncé and production by Tricky Stewart.,0,,,4,100.0
"give_opinion(name[Black Barbies], rating[excellent], record_label[Interscope Records], publication_year[2016])",I think Black Barbies by Interscope Records is an excellent song. It was released in 2016 and it's still a great listen.,0,,,4,100.0
"give_opinion(name[Bitter Sweet Symphony], rating[excellent], genres[alternative rock], publication_year[1997])",I think Bitter Sweet Symphony is an excellent alternative rock song. The fact that it was released in 1997 makes it even more special.,0,,,4,100.0
"give_opinion(name[Seven Nation Army], rating[excellent], genres[garage rock], record_label[XL Recordings])",I think Seven Nation Army is an excellent garage rock song. XL Recordings really delivered on this one.,0,,,4,100.0
"give_opinion(name[We Are the World], rating[excellent], record_label[Columbia Records], genres[pop music])",I think We Are the World is an excellent pop music song. Columbia Records did an amazing job producing it.,0,,,4,100.0
"give_opinion(name[Afterlife], rating[good], is_from_album[True], instance_of[song])",I think Afterlife is a great song and really stands out from the rest of the songs on the album.,2,"rating, is_from_album",,4,50.0
"inform(name[Money for Nothing], genres[rock music], from_album[Brothers in Arms])",Money for Nothing is a rock music song from the Brothers in Arms album.,0,,,3,100.0
"inform(name[Get Up!], genres[nu metal], instance_of[single])",Get Up! is a nu metal single.,0,,,3,100.0
"inform(name[Viva la Vida], genres[baroque pop], producer[Jon Hopkins])",Viva la Vida is a baroque pop song produced by Jon Hopkins.,0,,,3,100.0
"inform(name[Mad Love], genres[electropop], is_from_album[True])",Mad Love is an electropop song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Afterlife], genres[indie rock], record_label[Merge Records])",Afterlife is an indie rock song released on Merge Records.,0,,,3,100.0
"inform(name[We Are the World], genres[pop music], producer[Quincy Jones])",We Are the World is a pop music song produced by Quincy Jones.,0,,,3,100.0
"inform(name[All or Nothing], genres[pop music], rating[good])",All or Nothing is a good pop music song.,0,,,3,100.0
"inform(name[Que Calor], genres[Latin music], from_album[Music Is the Weapon])",Que Calor is a Latin music song from the album Music Is the Weapon.,0,,,3,100.0
"inform(name[Wild], genres[synth-pop], from_album[Blue Neighbourhood])",Wild is a synth-pop song from the album Blue Neighbourhood.,0,,,3,100.0
"inform(name[As It Was], genres[synth-pop], publication_year[2022])",As It Was is a synth-pop song releasing in 2022.,0,,,3,100.0
"inform(name[Evolution], genres[nu metal], from_album[Untitled Korn album])",Evolution is a nu metal song from the Untitled Korn album.,0,,,3,100.0
"inform(name[Que Calor], genres[Latin music], performer[Major Lazer, J Balvin])",Que Calor is a Latin music song by Major Lazer and J Balvin.,1,performer,,3,66.66666666666666
"inform(name[I], genres[hip hop music], rating[excellent])",I is an excellent hip hop music song.,0,,,3,100.0
"inform(name[Evolution], genres[nu metal], instance_of[single])",Evolution is a nu metal single.,0,,,3,100.0
"inform(name[Bitter Sweet Symphony], genres[alternative rock], is_from_album[True])",Bitter Sweet Symphony is an alternative rock song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Paint It Black], genres[rock music], rating[excellent])",Paint It Black is an excellent rock music song.,0,,,3,100.0
"inform(name[I], genres[hip hop music], from_album[To Pimp a Butterfly])",I is a hip hop song from the album To Pimp a Butterfly.,1,genres,,3,66.66666666666666
"inform(name[Y.M.C.A.], genres[disco], from_album[Cruisin'])",Y.M.C.A. is a disco song from the album Cruisin'.,0,,,3,100.0
"inform(name[Kings of the Wild Frontier], genres[post-punk], performer[Adam and the Ants])",Kings of the Wild Frontier is a post-punk song by Adam and the Ants.,0,,,3,100.0
"inform(name[Right Here, Right Now], genres[funk], rating[good])"," Right Here, Right Now is a good funk song.",0,,,3,100.0
"inform(name[Break My Soul], genres[electropop], record_label[Parkwood Entertainment])",Break My Soul is an electropop song released by Parkwood Entertainment.,0,,,3,100.0
"inform(name[Matador], genres[candombe], is_from_album[True])",Matador is a candombe song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Stereotypes], genres[Britpop], publication_year[1996])",Stereotypes is a 1996 Britpop song.,0,,,3,100.0
"inform(name[Old Town Road], genres[Southern hip hop], record_label[Columbia Records])",Old Town Road is a Southern hip hop song released by Columbia Records.,0,,,3,100.0
"inform(name[Mr. Brightside], genres[indie rock], record_label[Island Records])",Mr. Brightside is an indie rock song released on Island Records.,0,,,3,100.0
"inform(name[Apple Shampoo], genres[pop punk], record_label[MCA Records])",Apple Shampoo is a pop punk song released by MCA Records.,0,,,3,100.0
"inform(name[Seven Nation Army], genres[alternative rock], is_from_album[True])",Seven Nation Army is an alternative rock song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Sweet Home Alabama], genres[rock music], from_album[Second Helping])",Sweet Home Alabama is a rock music song from the album Second Helping.,0,,,3,100.0
"inform(name[Stargazing], genres[tropical house], producer[Kygo])",Stargazing is a tropical house song by Kygo.,0,,,3,100.0
"inform(name[Style], genres[synth-pop], instance_of[song])",Style is a synth-pop song.,0,,,3,100.0
"inform(name[Break My Soul], genres[electropop], from_album[Renaissance])",Break My Soul is an electropop song from the album Renaissance.,0,,,3,100.0
"inform(name[For a Friend], genres[pop music], performer[The Communards])",For a Friend is a pop music by The Communards.,0,,,3,100.0
"inform(name[Break My Soul], genres[house music], rating[excellent])",Break My Soul is an excellent house music song.,0,,,3,100.0
"inform(name[About Damn Time], genres[disco], record_label[Atlantic Records])",About Damn Time is a disco record released by Atlantic Records.,0,,,3,100.0
"inform(name[Style], genres[funk], from_album[1989])"," ""Style"" is a funk song from the 1989 album.",0,,,3,100.0
"inform(name[Afterlife], genres[indie rock], rating[good])",Afterlife is a good indie rock song.,0,,,3,100.0
"inform(name[We Are the World], genres[pop music], is_from_album[True])",We Are the World is a pop music song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Over It], genres[pop music], record_label[Inc.])",Over It is a pop music song released by Inc.,0,,,3,100.0
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980])",Kings of the Wild Frontier is a post-punk song from 1980.,0,,,3,100.0
"inform(name[Blurred Lines], genres[contemporary R&B], publication_year[2013])",Blurred Lines was released in 2013 and is a contemporary R&B song.,0,,,3,100.0
"inform(name[I], genres[hip hop music], producer[Rahki])",I is a hip hop song produced by Rahki.,1,genres,,3,66.66666666666666
"inform(name[Hold My Hand], genres[arena rock], is_from_album[False])"," Hold My Hand is an arena rock song, not from an album.",1,is_from_album,,3,66.66666666666666
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",Dragostea Din Tei is an Eurodance song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Take My Breath Away], genres[synth-pop], is_from_album[True])",Take My Breath Away is a synth-pop song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve])",Bitter Sweet Symphony by The Verve is an alternative rock song.,0,,,3,100.0
"inform(name[Careless Whisper], genres[pop music], publication_year[1984])",Careless Whisper is a 1984 pop music song.,0,,,3,100.0
"inform(name[Mad Love], genres[electropop], instance_of[single])",Mad Love is an electropop single.,0,,,3,100.0
"inform(name[Break My Soul], genres[dance-pop], record_label[Parkwood Entertainment])",Break My Soul is a dance-pop song released by Parkwood Entertainment.,0,,,3,100.0
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records])",Marilyn Monroe by Columbia Records is a funk song.,0,,,3,100.0
"inform(name[So Good], genres[pop rap], from_album[Strange Clouds])",So Good is a pop rap song from the album Strange Clouds.,0,,,3,100.0
"inform(name[Macarena], genres[flamenco], producer[Los del Río])",Macarena by Los del Río is a flamenco song.,0,,,3,100.0
"inform(name[About Damn Time], genres[disco], instance_of[single])",About Damn Time is a disco single.,0,,,3,100.0
"inform(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss])",Mr. Brightside is an indie rock song from the album Hot Fuss.,0,,,3,100.0
"inform(name[Style], genres[synth-pop], performer[Taylor Swift])",Style is a synth-pop song by Taylor Swift.,0,,,3,100.0
"inform(name[Stereotypes], genres[Britpop], from_album[The Great Escape])",Stereotypes is a Britpop song from the album The Great Escape.,0,,,3,100.0
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John])",Cold Heart is a disco song performed by Dua Lipa and Elton John.,1,performer,,3,66.66666666666666
"inform(name[Paint It Black], genres[rock music], from_album[Aftermath])",Paint It Black is a rock music from the Aftermath album.,0,,,3,100.0
"inform(name[Stairway to Heaven], genres[progressive rock], is_from_album[True])",Stairway to Heaven is a progressive rock song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Hold My Hand], genres[arena rock], record_label[Interscope Records])",Hold My Hand is an arena rock song released by Interscope Records.,0,,,3,100.0
"inform(name[Style], genres[pop rock], record_label[Republic Records])",Style is a pop rock song released by Republic Records.,0,,,3,100.0
"inform(name[Dragostea Din Tei], genres[Eurodance], publication_year[2003])",Dragostea Din Tei is a Eurodance song released in 2003.,0,,,3,100.0
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True])",Mr. Brightside is an indie rock song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[In My Bed], genres[soul music], record_label[Island Records])",In My Bed is a soul music track released by Island Records.,0,,,3,100.0
"inform(name[Every Breath You Take], genres[pop rock], producer[Stewart Copeland])",Every Breath You Take is a pop rock song produced by Stewart Copeland.,0,,,3,100.0
"inform(name[Y.M.C.A.], genres[disco], is_from_album[True])",Y.M.C.A. is a disco song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Dog Eat Dog], genres[new wave], instance_of[musical work/composition])",Dog Eat Dog is a new wave musical work/composition.,0,,,3,100.0
"inform(name[Dog Eat Dog], genres[new wave], from_album[Kings of the Wild Frontier])",Dog Eat Dog is a new wave song from the album Kings of the Wild Frontier.,0,,,3,100.0
"inform(name[Feel Again], genres[pop music], from_album[Native])"," ""Feel Again"" is a pop music song from the album Native.",0,,,3,100.0
"inform(name[Marilyn Monroe], genres[funk], is_from_album[True])",Marilyn Monroe is a funk song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[Mr. Brightside], genres[indie rock], publication_year[2003])",Mr. Brightside is an indie rock song from 2003.,0,,,3,100.0
"inform(name[Black Barbies], genres[hip hop music], rating[excellent])",Black Barbies is an excellent hip hop music song.,0,,,3,100.0
"inform(name[Matador], genres[candombe], record_label[Sony Music])",Matador is a candombe song released by Sony Music.,0,,,3,100.0
"inform(name[Blurred Lines], genres[contemporary R&B], instance_of[single])",Blurred Lines is a contemporary R&B single.,0,,,3,100.0
"inform(name[Feel Again], genres[pop music], performer[OneRepublic])",Feel Again is a pop song performed by OneRepublic.,1,genres,,3,66.66666666666666
"inform(name[All or Nothing], genres[pop music], from_album[Girl You Know It's True])",All or Nothing is a pop song from the album Girl You Know It's True.,1,genres,,3,66.66666666666666
"inform(name[As It Was], genres[new wave], is_from_album[True])",As It Was is a New Wave song from an album.,1,is_from_album,,3,66.66666666666666
"inform(name[All or Nothing], genres[pop music], publication_year[1990])",All or Nothing is a pop music song released in 1990.,0,,,3,100.0
"inform(name[Poison], genres[dance-pop], performer[Nicole Scherzinger])",Poison is a dance-pop song performed by Nicole Scherzinger.,0,,,3,100.0
"inform(name[Habibi], genres[reggaeton], instance_of[single])",Habibi is a reggaeton single.,0,,,3,100.0
"inform(name[Break My Soul], genres[electropop], instance_of[single])",Break My Soul is an electropop single.,0,,,3,100.0
"inform(name[Pumped Up Kicks], genres[pop rock], is_from_album[True], producer[Mark Foster])",Pumped Up Kicks is a pop rock song from the album produced by Mark Foster.,1,is_from_album,,4,75.0
"inform(name[Habibi], genres[reggaeton], rating[excellent], publication_year[2014])",Habibi is an excellent reggaeton song from 2014.,0,,,4,100.0
"inform(name[Habibi], genres[reggaeton], rating[excellent], instance_of[single])",Habibi is an excellent reggaeton single.,0,,,4,100.0
"inform(name[Sweet Home Alabama], genres[rock music], record_label[MCA Records], is_from_album[True])",Sweet Home Alabama is a rock music song released by MCA Records from the album.,1,is_from_album,,4,75.0
"inform(name[Cold Heart], genres[disco], is_from_album[False], rating[good])",Cold Heart is a good disco song.,1,is_from_album,,4,75.0
"inform(name[Anti-Hero], genres[synth-pop], from_album[Midnights], instance_of[musical work/composition])",Anti-Hero is a synth-pop song from the album Midnights. It is a musical composition.,1,instance_of,,4,75.0
"inform(name[Anti-Hero], genres[synth-pop], record_label[Republic Records], producer[Taylor Swift])",Anti-Hero is a synth-pop song by Taylor Swift that was released on Republic Records.,0,,,4,100.0
"inform(name[Paint It Black], genres[rock music], producer[Andrew Loog Oldham], instance_of[single])",Paint It Black is a rock music single produced by Andrew Loog Oldham.,0,,,4,100.0
"inform(name[In My Bed], genres[soul music], from_album[Frank], instance_of[single])",In My Bed by Frank is a soul music single.,0,,,4,100.0
"inform(name[Old Town Road], genres[Southern hip hop], publication_year[2018], producer[Trent Reznor])",Old Town Road is a 2018 Southern hip hop song produced by Trent Reznor.,0,,,4,100.0
"inform(name[Stairway to Heaven], genres[hard rock], rating[excellent], publication_year[1971])",Stairway to Heaven is an excellent hard rock song from 1971.,0,,,4,100.0
"inform(name[Waka Waka], genres[pop rock], producer[John Hill], rating[excellent])",Waka Waka is an excellent pop rock song produced by John Hill.,0,,,4,100.0
"inform(name[Feel Again], genres[pop music], from_album[Native], record_label[Mosley Music Group])",Feel Again is a pop music song from the album Native released by Mosley Music Group.,0,,,4,100.0
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John], record_label[Virgin EMI Records])",Cold Heart is a disco song released by Dua Lipa and Elton John on Virgin EMI Records.,1,performer,,4,75.0
"inform(name[Blinding Lights], genres[electropop], instance_of[single], performer[The Weeknd])",Blinding Lights is an electropop single by The Weeknd.,0,,,4,100.0
"inform(name[Blurred Lines], genres[contemporary R&B], performer[Robin Thicke, Pharrell Williams], is_from_album[True])"," Blurred Lines is a contemporary R&B song performed by Robin Thicke and Pharrell Williams, from an album.",2,"performer, is_from_album",,4,50.0
"inform(name[Break My Soul], genres[disco], publication_year[2022], instance_of[single])",Break My Soul is a 2022 disco single.,0,,,4,100.0
"inform(name[All or Nothing], genres[pop music], instance_of[single], is_from_album[True])",All or Nothing is a pop music single from an album.,1,is_from_album,,4,75.0
"inform(name[Stargazing], genres[tropical house], rating[excellent], instance_of[single])",Stargazing is an excellent tropical house single.,0,,,4,100.0
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True], instance_of[musical work/composition])",Dragostea Din Tei is a Eurodance song from an album and is a musical work/composition.,1,is_from_album,,4,75.0
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980], performer[Adam and the Ants])",Kings of the Wild Frontier is a post-punk song from 1980 by Adam and the Ants.,0,,,4,100.0
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True], instance_of[single])",Mr. Brightside is an indie rock single from an album.,1,is_from_album,,4,75.0
"inform(name[Matador], genres[candombe], rating[excellent], performer[Los Fabulosos Cadillacs])",Matador is an excellent candombe performed by Los Fabulosos Cadillacs.,0,,,4,100.0
"inform(name[I Was Gonna Cancel], genres[synth-pop], performer[Kylie Minogue], is_from_album[True])",I Was Gonna Cancel is a synth-pop song by Kylie Minogue from an album.,1,is_from_album,,4,75.0
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], instance_of[single])",Marilyn Monroe is an excellent funk single.,0,,,4,100.0
"inform(name[We Are the World], genres[gospel music], producer[Quincy Jones], rating[excellent])",We Are the World is an excellent gospel music song produced by Quincy Jones.,0,,,4,100.0
"inform(name[Macarena], genres[Eurodance], instance_of[musical work/composition], publication_year[1993])",Macarena is a 1993 Eurodance musical work/composition.,0,,,4,100.0
"inform(name[Matador], genres[candombe], instance_of[musical work/composition], performer[Los Fabulosos Cadillacs])",Matador is a candombe musical work/composition by Los Fabulosos Cadillacs.,0,,,4,100.0
"inform(name[Somebody That I Used to Know], genres[indie pop], rating[excellent], is_from_album[True])",Somebody That I Used to Know is an excellent indie pop song from an album.,1,is_from_album,,4,75.0
"inform(name[As It Was], genres[new wave], record_label[Columbia Records], publication_year[2022])",As It Was is a 2022 new wave song released by Columbia Records.,0,,,4,100.0
"inform(name[All or Nothing], genres[pop music], performer[Milli Vanilli], record_label[Arista Records])",All or Nothing is a pop music song by Milli Vanilli on Arista Records.,0,,,4,100.0
"inform(name[Black Barbies], genres[hip hop music], publication_year[2016], is_from_album[False])",Black Barbies is a hip hop music song released in 2016. It is not part of any album.,1,is_from_album,,4,75.0
"inform(name[Sweet Home Alabama], genres[rock music], rating[excellent], producer[Al Kooper])",Sweet Home Alabama is an excellent rock music song produced by Al Kooper.,0,,,4,100.0
"inform(name[Wild], genres[synth-pop], performer[Troye Sivan], from_album[Blue Neighbourhood])",Wild is a synth-pop song by Troye Sivan from the album Blue Neighbourhood.,0,,,4,100.0
"inform(name[Black Barbies], genres[hip hop music], rating[excellent], producer[Mike WiLL Made-It])",Black Barbies is an excellent hip hop song produced by Mike WiLL Made-It.,1,genres,,4,75.0
"inform(name[Sweet Home Alabama], genres[rock music], publication_year[1974], from_album[Second Helping])",Sweet Home Alabama is a rock music song from the 1974 album Second Helping.,0,,,4,100.0
"inform(name[Careless Whisper], genres[pop music], is_from_album[True], from_album[Make It Big])",Careless Whisper is a pop music song from the album Make It Big.,1,is_from_album,,4,75.0
"inform(name[King of Sorrow], genres[contemporary R&B], instance_of[single], rating[excellent])",King of Sorrow is an excellent contemporary R&B single.,0,,,4,100.0
"inform(name[Right Here, Right Now], genres[electro], performer[Giorgio Moroder], instance_of[single])"," Right Here, Right Now is an electro single by Giorgio Moroder.",0,,,4,100.0
"inform(name[Dragostea Din Tei], genres[Eurodance], record_label[Ultra Records], from_album[DiscO-Zone])",Dragostea Din Tei is a Eurodance song by Ultra Records from the album DiscO-Zone.,0,,,4,100.0
"inform(name[Anti-Hero], genres[synth-pop], instance_of[musical work/composition], record_label[Republic Records])",Anti-Hero is a synth-pop musical work/composition by Republic Records.,0,,,4,100.0
